DT,latitude,longitude,R,NIR,Fmask,Sensor
2019173T232240,63.1367844,179.041577,0.0579,0.1705,128,LC08
2019182T231655,63.0398979,179.1493163,0.0666,0.2841,128,LC08
2019182T231655,63.1745585,179.132383,0.044000000000000004,0.34340000000000004,192,LC08
2019182T231655,63.2462262,179.0952475,0.0533,0.3426,128,LC08
2019182T231655,63.1778561,179.1682067,0.0395,0.3266,192,LC08
2019182T231655,63.3337091,178.9979193,0.0695,0.21330000000000002,64,LC08
2019182T231655,63.2367396,179.0491019,0.0284,0.34400000000000003,192,LC08
2019182T231655,63.1908564,179.0553359,0.057,0.2432,128,LC08
2019182T231655,63.1643479,178.994274,0.0424,0.3884,192,LC08
2019182T231655,63.1367844,179.041577,0.0594,0.2167,192,LC08
2019189T232244,63.1745585,179.132383,0.0475,0.32020000000000004,128,LC08
2019189T232244,63.1778561,179.1682067,0.0393,0.34240000000000004,128,LC08
2019189T232244,63.3337091,178.9979193,0.075,0.2189,64,LC08
2019189T232244,63.2367396,179.0491019,0.038700000000000005,0.3825,64,LC08
2019189T232244,63.1908564,179.0553359,0.049,0.23340000000000002,64,LC08
2019196T232855,63.0398979,179.1493163,0.0651,0.3045,64,LC08
2019196T232855,63.1745585,179.132383,0.0402,0.37210000000000004,64,LC08
2019196T232855,63.2462262,179.0952475,0.0419,0.3851,64,LC08
2019196T232855,63.1778561,179.1682067,0.030100000000000002,0.3567,64,LC08
2019196T232855,63.3337091,178.9979193,0.0538,0.2376,64,LC08
2019196T232855,63.2367396,179.0491019,0.0302,0.37570000000000003,64,LC08
2019196T232855,63.1908564,179.0553359,0.0451,0.2627,64,LC08
2019196T232855,63.1643479,178.994274,0.0395,0.4141,64,LC08
2019196T232855,63.1367844,179.041577,0.050800000000000005,0.2743,64,LC08
2019198T231658,63.0398979,179.1493163,0.0649,0.324,192,LC08
2019198T231658,63.2462262,179.0952475,0.0665,0.38370000000000004,192,LC08
2019212T232902,63.2462262,179.0952475,0.048400000000000006,0.35800000000000004,64,LC08
2019212T232902,63.3337091,178.9979193,0.058100000000000006,0.2439,64,LC08
2019212T232902,63.2367396,179.0491019,0.038900000000000004,0.3372,128,LC08
2019212T232902,63.1908564,179.0553359,0.054700000000000006,0.2743,128,LC08
2019212T232902,63.1367844,179.041577,0.0543,0.2687,192,LC08
2019230T231710,63.0398979,179.1493163,0.0616,0.2822,64,LC08
2019230T231710,63.1745585,179.132383,0.0458,0.3543,64,LC08
2019230T231710,63.2462262,179.0952475,0.048,0.3776,64,LC08
2019230T231710,63.1778561,179.1682067,0.027700000000000002,0.3504,64,LC08
2019230T231710,63.3337091,178.9979193,0.0574,0.2497,64,LC08
2019230T231710,63.2367396,179.0491019,0.0398,0.3574,64,LC08
2019230T231710,63.1908564,179.0553359,0.0494,0.2586,64,LC08
2019230T231710,63.1643479,178.994274,0.0415,0.3912,64,LC08
2019230T231710,63.1367844,179.041577,0.05,0.263,64,LC08
2019237T232259,63.0398979,179.1493163,0.0679,0.2801,64,LC08
2019237T232259,63.1745585,179.132383,0.053700000000000005,0.3538,128,LC08
2019237T232259,63.2462262,179.0952475,0.057800000000000004,0.373,64,LC08
2019237T232259,63.1778561,179.1682067,0.0313,0.3309,128,LC08
2019237T232259,63.3337091,178.9979193,0.06420000000000001,0.24500000000000002,64,LC08
2019237T232259,63.2367396,179.0491019,0.0521,0.34500000000000003,64,LC08
2019237T232259,63.1908564,179.0553359,0.0599,0.2576,64,LC08
2019237T232259,63.1643479,178.994274,0.049,0.38870000000000005,64,LC08
2019237T232259,63.1367844,179.041577,0.06330000000000001,0.27440000000000003,128,LC08
2019262T231655,63.3337091,178.9979193,0.0585,0.22660000000000002,128,LC08
2020153T231607,63.0398979,179.1493163,0.07740000000000001,0.21610000000000001,192,LC08
2020153T231607,63.1908564,179.0553359,0.0974,0.1481,192,LC08
2020160T232223,63.0398979,179.1493163,0.08080000000000001,0.2217,128,LC08
2020160T232223,63.1745585,179.132383,0.1282,0.28390000000000004,192,LC08
2020160T232223,63.2462262,179.0952475,0.0698,0.25730000000000003,192,LC08
2020160T232223,63.3337091,178.9979193,0.0347,0.1174,192,LC08
2020160T232223,63.2367396,179.0491019,0.0424,0.2194,192,LC08
2020160T232223,63.1908564,179.0553359,0.064,0.1602,192,LC08
2020160T232223,63.1643479,178.994274,0.2149,0.33240000000000003,192,LC08
2020167T232838,63.0398979,179.1493163,0.0747,0.23800000000000002,64,LC08
2020167T232838,63.1745585,179.132383,0.0475,0.2684,128,LC08
2020167T232838,63.2462262,179.0952475,0.0693,0.28040000000000004,64,LC08
2020167T232838,63.1778561,179.1682067,0.2016,0.28650000000000003,64,LC08
2020167T232838,63.3337091,178.9979193,0.0523,0.1557,64,LC08
2020167T232838,63.2367396,179.0491019,0.0563,0.2702,64,LC08
2020167T232838,63.1908564,179.0553359,0.058,0.183,64,LC08
2020167T232838,63.1643479,178.994274,0.0543,0.27340000000000003,64,LC08
2020167T232838,63.1367844,179.041577,0.08220000000000001,0.1365,64,LC08
2020169T231617,63.0398979,179.1493163,0.0747,0.2489,64,LC08
2020169T231617,63.1745585,179.132383,0.0446,0.27240000000000003,64,LC08
2020169T231617,63.2462262,179.0952475,0.06620000000000001,0.2967,64,LC08
2020169T231617,63.1778561,179.1682067,0.1131,0.25120000000000003,128,LC08
2020169T231617,63.3337091,178.9979193,0.0584,0.1698,64,LC08
2020169T231617,63.2367396,179.0491019,0.047900000000000005,0.2967,64,LC08
2020169T231617,63.1908564,179.0553359,0.0555,0.1998,64,LC08
